transaction_id,customer_id,visit_date,total_spending
T004000,1390,2023-01-01,265869
T002563,1276,2023-01-01,74918
T000553,1130,2023-01-01,161868
T005176,1196,2023-01-01,64898
T007017,1336,2023-01-01,316389
T004115,1325,2023-01-01,86686
T000989,1341,2023-01-01,133123
T006826,1370,2023-01-01,366218
T004317,1338,2023-01-01,286217
T006442,1088,2023-01-02,66313
T007424,1161,2023-01-02,369773
T003247,1462,2023-01-02,225202
T001385,1149,2023-01-02,280243
T000021,1362,2023-01-02,461371
T003162,1061,2023-01-02,263603
T000980,1301,2023-01-02,201877
T000924,1312,2023-01-02,238216
T003349,1256,2023-01-02,254618
T006682,1265,2023-01-03,129910
T006283,1083,2023-01-03,185675
T006667,1025,2023-01-03,105591
T005489,1175,2023-01-03,150990
T007799,1026,2023-01-03,394975
T002677,1344,2023-01-03,106545
T004058,1140,2023-01-03,487518
T002746,1113,2023-01-03,148993
T005933,1430,2023-01-03,421319
T006729,1343,2023-01-03,341651
T000768,1119,2023-01-03,431998
T006013,1436,2023-01-03,331438
T000241,1245,2023-01-04,162712
T002694,1147,2023-01-04,408819
T006355,1260,2023-01-04,453531
T000605,1027,2023-01-04,121046
T007183,1083,2023-01-04,489311
T000534,1471,2023-01-04,472834
T004065,1334,2023-01-04,381949
T006099,1321,2023-01-04,420289
T003606,1161,2023-01-04,22056
T006154,1468,2023-01-05,59673
T004845,1086,2023-01-05,155513
T005801,1212,2023-01-05,442452
T007657,1169,2023-01-05,219741
T000128,1080,2023-01-05,295261
T004658,1136,2023-01-05,208327
T006395,1207,2023-01-06,38637
T000915,1421,2023-01-06,28816
T003129,1136,2023-01-06,239249
T007633,1192,2023-01-06,104946
T001776,1124,2023-01-06,457090
T006314,1423,2023-01-06,468912
T006710,1006,2023-01-06,29013
T005354,1107,2023-01-06,193211
T002180,1454,2023-01-06,436749
T001700,1228,2023-01-07,102910
T001876,1491,2023-01-07,305672
T003363,1386,2023-01-07,250611
T005417,1308,2023-01-07,305701
T000974,1428,2023-01-07,174093
T001714,1352,2023-01-07,486445
T002407,1419,2023-01-07,42068
T001501,1096,2023-01-07,67387
T003749,1404,2023-01-07,433136
T000341,1003,2023-01-07,399497
T005018,1119,2023-01-07,223664
T003646,1125,2023-01-08,105141
T001809,1238,2023-01-08,366821
T000030,1098,2023-01-08,330084
T007348,1209,2023-01-08,196555
T004481,1028,2023-01-08,395181
